"","Bearbeiter/in","Bogennummer_alph","Bogennummer_num","Bogennummer_ind","Digi_Index","Ort","Ort_Zusatz","Kreis","Provinz","tray"
"697","JR","[H]'",64,"1","Schutte_00_0031","Schedi[win]","999","Grulich","Sudetengau","999"
"698","JR","K'",60,"3","Schutte_00_0032","Wünschendorf","999","Löwenberg","Schlesien","V_23"
"699","JR","999",999,"999","Schutte_00_0033","Wladislawow","999","Plöhnen","Ostpreussen","999"
"700","JR","999",999,"999","Schutte_00_0034","Opinogora","999","Zicherau","Ostpreußen","999"
"701","JR","999",999,"999","Schutte_00_0035","Slugi","Gemeinde Tum","Lentschütz","Wartheland","999"
"702","JR","999",999,"999","Schutte_00_0036","Löwen","Karowsieki","Schröttersburg","Süelostpr.","999"
"703","JR","t'",54,"1","Schutte_00_0037","Güldendorf","fr. Tschetzschnow","Lebus","Brandenburg","VI_7"
"704","JR","l'",57,"3","Schutte_00_0038","Dierkow","Dickow","Soldin","Brandenburg","VI_14"
"705","JR","t",35,"3","Schutte_00_0039","Alt-Haldensleben","999","Haldensleben","S[?]","I_40"
"706","JR","m",37,"4","Schutte_00_0040","Schönberg","Damm","Osterburg","Sachsen","I_37"
"707","JR","v",19,"5","Schutte_00_0041","Bonneberg","999","Herford","Westfalen","II_31"
"708","JR","p",22,"4","Schutte_00_0042","Schlessinghausen","999","Nienburg","[Hannover]","I_22"
"709","JR","i",76,"1","Schutte_00_0043","Kgl. Waldau","999","Kulm","Westpr.","IV_38"
"710","JR","b''",72,"9","Schutte_00_0044","Konitz","999","Konitz","Gau Danzig-Westpr.","VI_21"
"711","JR","k",67,"2","Schutte_00_0045","Waldau","999","Kolmar","Wartheland","IV_38"
"712","JR","b",67,"2","Schutte_00_0046","Soltznitz","999","Neustettin","Pommern","IV_34"
"713","JR","h",56,"2","Schutte_00_0047","Sabow","Satr[es]","Pyritz","Pommern","IV_13"
"714","JR","Z",57,"1","Schutte_00_0048","Dorphagen","999","Cammin","Pommern","IV_5"
"715","JR","h",50,"4","Schutte_00_0049","Bertikow","999","Angermünde","Brandenburg","IV_13"
"716","JR","Z",49,"5","Schutte_00_0050","Bargischow","999","Anklam","Pommern","IV_5"
"717","JR","g",35,"5","Schutte_00_0051","Glaisin","999","Ludwigslust","Mecklbg.","I_34"
"718","JR","Z",39,"8","Schutte_00_0052","Oettelin","999","Güstrow","Mecklenburg","I_30"
"719","JR","i",18,"9","Schutte_00_0053","Schierbrok","999","Oldenburg","Oldenburg","I_16"
"720","JR","h",20,"3","Schutte_00_0054","Helse","999","Süderdithmarschen","Schleswig-Holst.","I_15"
"721","JR","R",101,"11","Schutte_00_0055","Klimmen","999","Ebenrode","Ostpreußen","VII_7"
"722","JR","M",99,"7","Schutte_00_0056","Scharken","Post Hohensalzburg","Tilsit-Ragnit","Ostpreußen","VII_3"
"723","JR","R",95,"4","Schutte_00_0057","Gomingen","Mulden II","Gerdauen","Ostpreussen","VII_7"
"724","JR","R",95,"4","Schutte_00_0058","Mulden","999","Gerdauen","Ostpreussen","VII_7"
